"name","description","date_iso","type"
World Autoimmune / Autoinflammatory Arthritis Day,World Autoimmune / Autoinflammatory Arthritis Day is a worldwide observance in the USA,"2019-05-20",Worldwide observance
World Day for Cultural Diversity for Dialogue and Development,"The World Day for Cultural Diversity for Dialogue and Development, held on May 21, is an occasion for people to deepen their understanding of cultural diversity.","2019-05-21",United Nations observance
International Day for Biological Diversity,The International Day for Biological Diversity is an occasion to increase the global understanding and awareness of issues and challenges around biodiversity.,"2019-05-22",United Nations observance
Emergency Medical Services for Children Day,"Emergency Medical Services for Children (EMSC) Day is observed on the Wednesday of Emergency Medical Services (EMS) Week, May 19–25, in the United States.","2019-05-22",Observance
National Maritime Day,"National Maritime Day is annually observed in the United States on May 22. It is a time to observe its maritime heritage, to honor those who served as merchant mariners, and to recognize the benefits of the maritime industry.","2019-05-22",Observance
Harvey Milk Day,"Harvey Milk Day is an observance that is recognized in public schools in California, United States, on May 22 each year.","2019-05-22",Local observance
Lag BaOmer,Many Jewish Americans observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.,"2019-05-23",Hebrew
International Day to End Obstetric Fistula,The International Day to End Obstetric Fistula raises awareness of fistula and calls for support to tackle the problem.,"2019-05-23",United Nations observance
African Liberation Day,African Liberation Day celebrates African nations' hard-fought freedom from European colonial powers.,"2019-05-25",Worldwide observance
National Missing Children's Day,National Missing Children's Day is an observation dedicated to addressing the problem of child abduction.,"2019-05-25",Observance
Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,"2019-05-27",National holiday
Memorial Day,Memorial Day commemorates all Americans who have died in military service for the United States.,"2019-05-27",Local holiday
Jefferson Davis' Birthday,"Jefferson Davis' Birthday, also known as Jefferson Davis Day, is a state holiday in Alabama in the United States.","2019-05-27",Local observance
International Day of United Nations Peacekeepers,The International Day of United Nations Peacekeepers is an occasion to pay tribute to people who served in United Nations (UN) peacekeeping operations.,"2019-05-29",United Nations observance
Ascension Day,Ascension Day is the 40th day of Easter and commemorates the ascension of Jesus Christ into heaven.,"2019-05-30",Christian
World No Tobacco Day,World No Tobacco Day draws attention to the health problems caused by tobacco use.,"2019-05-31",United Nations observance
Lailat al-Qadr,Laylat al Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.,"2019-06-01",Muslim
Global Day of Parents,Global Day of Parents appreciates the role of a parent in nurturing and fostering growth for their children.,"2019-06-01",United Nations observance
First Day of Pride Month,First Day of Pride Month is a annual monthly observance in the USA,"2019-06-01",Observance
First Day of Caribbean-American Heritage Month,First Day of Caribbean-American Heritage Month is a annual monthly observance in the USA,"2019-06-01",Observance
Statehood Day,Statehood Day marks the anniversary of the dates that Kentucky became the 15th state and Tennessee became the 16th state of the United States.,"2019-06-01",Local observance
Jefferson Davis' Birthday,"Jefferson Davis' Birthday, also known as Jefferson Davis Day, is a state holiday in Alabama in the United States.","2019-06-03",Local holiday
Jefferson Davis' Birthday,"Jefferson Davis' Birthday, also known as Jefferson Davis Day, is a state holiday in Alabama in the United States.","2019-06-03",Local observance
Eid al-Fitr,"Eid al-Fitr is a holiday to mark the end of the Islamic month of Ramadan, during which Muslims fast during the hours of daylight.","2019-06-04",Muslim
International Day of Innocent Children Victims of Aggression,The United Nations' (UN) International Day of Innocent Children Victims of Aggression is observed on June 4 each year.,"2019-06-04",United Nations observance
World Environment Day,World Environment Day is held each year on June 5. It is one of the principal vehicles through which the United Nations (UN) stimulates worldwide awareness of the environment and enhances political attention and action.,"2019-06-05",United Nations observance
"International Day for the Fight against Illegal, Unreported and Unregulated Fishing","International Day for the Fight against Illegal, Unreported and Unregulated Fishing is a United Nations observance in the USA","2019-06-05",United Nations observance
Day of the Russian Language,Day of the Russian Language is a United Nations observance in the USA,"2019-06-06",United Nations observance
D-Day,"D-Day is a special anniversary in some countries, including the United States (U.S.), to remember Allied forces’ invasion of Normandy, France, in the Second World War.","2019-06-06",Observance
World Food Safety Day,World Food Safety Day is a United Nations observance in the USA,"2019-06-07",United Nations observance
World Oceans Day,World Oceans Day is annually observed on June 8 to raise awareness of the challenges humanity faces to protect the world's oceans.,"2019-06-08",United Nations observance
Belmont Stakes,The Belmont Stakes is the third and final horse race of the Triple Crown. It is run annually five weeks after the Kentucky Derby.,"2019-06-08",Sporting event
Pentecost,"Many Christians in the United States observe Pentecost, also known as Whitsunday or Whit Sunday.","2019-06-09",Christian
Shavuot,"Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals.","2019-06-09",Hebrew
Whit Monday,"Many Christians in the United States will observe Whit Monday, or Pentecost Monday. It is the day after Pentecost, which is also known as Whit Sunday or Whitsunday.","2019-06-10",Christian
Kamehameha Day,"Kamehameha Day, held annually on June 11, honors Kamehameha the Great (Kamehameha I), the monarch who united and established the Kingdom of Hawaii.","2019-06-11",Local holiday
World Day Against Child Labour,Poverty and injustice against widows is a world-wide problem addressed by International Widows' Day.,"2019-06-12",United Nations observance
Loving Day,Loving Day is a observance in the USA,"2019-06-12",Observance
International Albinism Awareness Day,International Albinism Awareness Day aims to stop the persecution and murders of people with albinism.,"2019-06-13",United Nations observance
World Blood Donor Day,On World Blood Donor Day numerous events are held worldwide to raise awareness about the importance of safe blood supplies.,"2019-06-14",United Nations observance
Army Birthday,Army Birthday is a observance in the USA,"2019-06-14",Observance
Flag Day,Flag Day is annually held on June 14 to honor the United States flag.,"2019-06-14",Observance
World Elder Abuse Awareness Day,"World Elder Abuse Awareness Day attempts to shine a light on the problem of physical, emotional, and financial abuse of elders.","2019-06-15",United Nations observance
Juneteenth National Freedom Day,Juneteenth National Freedom Day is a state observance in the USA,"2019-06-15",Local observance
Juneteenth Day,Juneteenth Day is a state observance in the USA,"2019-06-15",Local observance
Juneteenth National Freedom Day,Juneteenth National Freedom Day is a state observance in the USA,"2019-06-15",Local observance
Juneteenth Independence Day,Juneteenth Independence Day is a state observance in the USA,"2019-06-15",Local observance
Juneteenth National Freedom Day,Juneteenth National Freedom Day is a state observance in the USA,"2019-06-15",Local observance
Juneteenth,Juneteenth is a state observance in the USA,"2019-06-15",Local observance
Juneteenth National Freedom Day,Juneteenth National Freedom Day is a state observance in the USA,"2019-06-15",Local observance
Juneteenth,Juneteenth is a state observance in the USA,"2019-06-15",Local observance
Juneteenth National Freedom Day,Juneteenth National Freedom Day is a state observance in the USA,"2019-06-15",Local observance
Juneteenth Freedom Day,Juneteenth Freedom Day is a state observance in the USA,"2019-06-15",Local observance
Juneteenth National Freedom Day,Juneteenth National Freedom Day is a state observance in the USA,"2019-06-15",Local observance
Juneteenth Freedom Day,Juneteenth Freedom Day is a state observance in the USA,"2019-06-15",Local observance
Trinity Sunday,Trinity Sunday is the first Sunday after Pentecost and is celebrated by many Christians in the United States.,"2019-06-16",Christian
International Day of Family Remittances,The UN estimates that family remittances worth over 500 billion US$ are transferred worldwide every year.,"2019-06-16",United Nations observance
Father's Day,Father's Day celebrates the contribution that fathers and father figures make to the lives of their children.,"2019-06-16",Observance
Father's Day,Father's Day celebrates the contribution that fathers and father figures make to the lives of their children.,"2019-06-16",Local holiday
World Day to Combat Desertification and Drought,The United Nations' World Day to Combat Desertification and Drought is observed worldwide on June 17 each year.,"2019-06-17",United Nations observance
Bunker Hill Day,"Bunker Hill Day commemorates the Battle of Bunker Hill, which took place on June 17, 1775 on the Charlestown Peninsula, Boston Harbor, in Massachusetts.","2019-06-17",Local holiday
Sustainable Gastronomy Day,Sustainable Gastronomy Day is a United Nations observance in the USA,"2019-06-18",United Nations observance
Juneteenth,Juneteenth is a observance in the USA,"2019-06-19",Observance
International Day for the Elimination of Sexual Violence in Conflict,International Day for the Elimination of Sexual Violence in Conflict is a UN day aiming to rid the world of conflict-related sexual violence.,"2019-06-19",United Nations observance
Juneteenth,Juneteenth is a state observance in the USA,"2019-06-19",Local observance
Juneteenth Day,Juneteenth Day is a state observance in the USA,"2019-06-19",Local observance
Juneteenth National Freedom Day,Juneteenth National Freedom Day is a state observance in the USA,"2019-06-19",Local observance
Juneteenth,Juneteenth is a state observance in the USA,"2019-06-19",Local observance
Juneteenth,Juneteenth is a state observance in the USA,"2019-06-19",Local observance
National Juneteenth Freedom Day,National Juneteenth Freedom Day is a state observance in the USA,"2019-06-19",Local observance
Juneteenth Freedom Day,Juneteenth Freedom Day is a state observance in the USA,"2019-06-19",Local observance
Emancipation Day,Emancipation Day is a state observance in the USA,"2019-06-19",Local observance
Juneteenth,Juneteenth is a state observance in the USA,"2019-06-19",Local observance
Juneteenth Day,Juneteenth Day is a state observance in the USA,"2019-06-19",Local observance
Juneteenth,Juneteenth is a state observance in the USA,"2019-06-19",Local observance
Juneteenth Freedom Day,Juneteenth Freedom Day is a state observance in the USA,"2019-06-19",Local observance
Juneteenth Freedom Day,Juneteenth Freedom Day is a state holiday in the USA,"2019-06-19",Local holiday
Juneteenth National Freedom Day,Juneteenth National Freedom Day is a state observance in the USA,"2019-06-19",Local observance
Juneteenth,Juneteenth is a state observance in the USA,"2019-06-19",Local observance
Juneteenth National Freedom Day,Juneteenth National Freedom Day is a state observance in the USA,"2019-06-19",Local observance
Juneteenth Independence Day,Juneteenth Independence Day is a state observance in the USA,"2019-06-19",Local observance
Juneteenth Celebration of Freedom Day,Juneteenth Celebration of Freedom Day is a state observance in the USA,"2019-06-19",Local observance
Juneteenth,Juneteenth is a state observance in the USA,"2019-06-19",Local observance
Juneteenth,Juneteenth is a state observance in the USA,"2019-06-19",Local observance
Emancipation Day,Emancipation Day is a state holiday in the USA,"2019-06-19",Local holiday
World Refugee Day,"The United Nations' World Refugee Day honors refugees' courage, strength and determination.","2019-06-20",United Nations observance
West Virginia Day,"West Virginia Day, or WV Day, celebrates the anniversary of the creation of the state of West Virginia on June 20, 1863.","2019-06-20",Local holiday
American Eagle Day,"Observed annually on June 20 in 47 American states, American Eagle Day is an unofficial holiday that celebrates the removal of the American Bald Eagle from a list of ""endangered species"".","2019-06-20",Observance
International Day of Yoga,The International Day of Yoga is a UN-day that aims to raise awareness worldwide of the many benefits of practicing yoga.,"2019-06-21",United Nations observance
International Day of the Celebration of the Solstice,International Day of the Celebration of the Solstice is a United Nations observance in the USA,"2019-06-21",United Nations observance
June Solstice,June Solstice in the USA (New York),"2019-06-21T11:54:14-04:00",Season
Corpus Christi,Corpus Christi is observed in honor of the Holy Eucharist.,"2019-06-23",Christian
Public Service Day,The United Nations’ Public Service Day celebrates the idea that democracy and successful governance depend on a competent civil service.,"2019-06-23",United Nations observance
International Widows' Day,Poverty and injustice against widows is a world-wide problem addressed by International Widows' Day.,"2019-06-23",United Nations observance
Juneteenth Independence Day,Juneteenth Independence Day is a state observance in the USA,"2019-06-23",Local observance
Day of the Seafarer,"The Day of the Seafarer aims to acknowledge the social, and economic contribution of the millions of seafarers around the world.","2019-06-25",United Nations observance
International Day Against Drug Abuse and Illicit Trafficking,The United Nations’ (UN) International Day Against Drug Abuse and Illicit Trafficking raise awareness about the dangers of illicit drugs.,"2019-06-26",United Nations observance
International Day in Support of Victims of Torture,The United Nations’ (UN) International Day in Support of Victims of Torture is annually observed on June 26 to remind people that human torture is not only unacceptable – it is also a crime.,"2019-06-26",United Nations observance
"Micro-, Small and Medium-sized Enterprises Day","Micro-, Small and Medium-sized Enterprises Day is a United Nations observance in the USA","2019-06-27",United Nations observance
Carolina Day,Carolina Day is a state observance in the USA,"2019-06-28",Local observance
International Day of the Tropics,International Day of the Tropics is a United Nations observance in the USA,"2019-06-29",United Nations observance
International Asteroid Day,The United Nations established International Asteroid Day to raise public awareness of the asteroid impact hazard.,"2019-06-30",United Nations observance
International Day of Parliamentarism,International Day of Parliamentarism is a United Nations observance in the USA,"2019-06-30",United Nations observance
Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.","2019-07-04",Local holiday
Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.","2019-07-04",National holiday
Independence Day,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776.","2019-07-04",Local holiday
Independence Day Holiday,Maryland state employees get the day after Independence Day off.,"2019-07-05",Local holiday
International Day of Cooperatives,"The United Nations' (UN) International Day of Cooperatives recognizes and reaffirms the role of cooperatives in economic, social and cultural development and in the achievement of social policy objectives.","2019-07-06",United Nations observance
World Population Day,The United Nations' (UN) World Population Day reaffirms the human right to plan for a family.,"2019-07-11",United Nations observance
Nathan Bedford Forrest Day,Nathan Bedford Forrest Day is a local observance in the USA,"2019-07-13",Local observance
Bastille Day,Bastille Day is a observance in the USA,"2019-07-14",Observance
World Youth Skills Day,Acquiring skills enhances youths' ability to make informed choices and empowers them to gain access to changing labor markets.,"2019-07-15",United Nations observance
Rural Transit Day,Rural Transit Day is a observance in the USA,"2019-07-16",Observance
Nelson Mandela Day,Nelson Mandela International Day is annually observed on July 18 to recognize the former South African president’s contribution to peace and freedom.,"2019-07-18",United Nations observance
Pioneer Day,Pioneer Day is an annual state holiday in Utah in the United States. It is celebrated to honor the pioneers who demonstrated industry and bravery when they ventured to settle in a place that is now Salt Lake City.,"2019-07-24",Local holiday
Korean War Veteran Recognition Day,Korean War Veteran Recognition Day is a state observance in the USA,"2019-07-27",Local observance
National Korean War Veterans Armistice Day,National Korean War Veterans Armistice Day is a observance in the USA,"2019-07-27",Observance
World Hepatitis Day,World Hepatitis Day is observed on July 28 every year to raise awareness of hepatitis and encourage prevention and treatment.,"2019-07-28",United Nations observance
Parents' Day,Parents’ Day is celebrated in the United States on the fourth Sunday of July each year to recognize and promote parenting as a crucial part of families and the wider community.,"2019-07-28",Observance
International Day of Friendship,The International Day of Friendship is annually held on July 30 to celebrate friendships worldwide.,"2019-07-30",United Nations observance
World Day Against Trafficking in Persons,July 30 is the UN World Day Against Trafficking in Persons,"2019-07-30",United Nations observance
Colorado Day,"Colorado Day is an annual observance that commemorates the state’s birthday on August 1, 1876, and its history.","2019-08-01",Local observance
Coast Guard Birthday,Coast Guard Birthday is a observance in the USA,"2019-08-04",Observance
Barack Obama Day,Barack Obama Day is a observance in the USA,"2019-08-04",Observance
American Family Day,American Family Day is a state holiday in the USA,"2019-08-04",Local holiday
Purple Heart Day,Purple Heart Day on August 7 commemorates the day in 1782 when General George Washington created the Purple Heart Medal – a military decoration that is awarded to those wounded or killed while serving in the United States Armed Forces.,"2019-08-07",Local observance
Purple Heart Day,Purple Heart Day on August 7 commemorates the day in 1782 when General George Washington created the Purple Heart Medal – a military decoration that is awarded to those wounded or killed while serving in the United States Armed Forces.,"2019-08-07",Observance
Purple Heart Day,Purple Heart Day on August 7 commemorates the day in 1782 when General George Washington created the Purple Heart Medal – a military decoration that is awarded to those wounded or killed while serving in the United States Armed Forces.,"2019-08-07",Local observance
International Day of the World's Indigenous People,The United Nations’ (UN) International Day of the World's Indigenous People is observed on August 9 each year to promote and protect the rights of the world’s indigenous peoples.,"2019-08-09",United Nations observance
Tisha B'Av,Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.,"2019-08-11",Hebrew
Eid al-Adha,"For more than 3 millions Muslims in the US, Eid al-Adha, the Festival of Sacrifice, is one of the most important dates in the calendar.","2019-08-11",Muslim
International Youth Day,The United Nations’ (UN) International Youth Day is annually held on August 12 to celebrate the achievements of the world’s youth and to encourage their participation in enhancing society.,"2019-08-12",United Nations observance
Victory Day,"Victory Day, also known as VJ Day, is an annual state holiday celebrated on the second Monday in August in Rhode Island in the United States. It marks the anniversary of the Allies’ victory over Japan during World War II.","2019-08-12",Local holiday
Raksha Bandhan,Raksha Bandhan is a Hindu festival that is celebrated on the full moon of the Hindu month of Shravana (Shravan Poornima). The day is also sometimes referred to as Brother and Sister Day because it honors the relationship between brother and sister.,"2019-08-14",Hinduism
Assumption of Mary,Assumption Day is a Christian observance in the United States that is held annually on August 15. Catholics observe the Dormition (falling asleep) or the day that the Blessed Virgin Mary was received into heaven.,"2019-08-15",Christian
Hawaii Statehood Day,Hawaii’s Statehood Day is celebrated on the third Friday of August to commemorate the anniversary of Hawaii’s statehood.,"2019-08-16",Local holiday
Bennington Battle Day,Bennington Battle Day is a state holiday in Vermont. It commemorates the American victory at the Battle of Bennington during the Revolutionary War in north America in 1777.,"2019-08-16",Local holiday
National Navajo Code Talkers Day,National Navajo Code Talkers Day is a state holiday in the USA,"2019-08-18",Local holiday
National Senior Citizens Day,National Senior Citizens Day is an observance on the third Sunday of August to honor the contributions of senior citizens in the United States.,"2019-08-18",Observance
World Humanitarian Day,The United Nations’(UN) World Humanitarian Day focuses on increasing public awareness about humanitarian service worldwide and is annually observed on August 19.,"2019-08-19",United Nations observance
National Aviation Day,National Aviation Day is observed in the United States on August 19 each year to celebrate the history and development of the aviation.,"2019-08-19",Observance
International Day of Remembrance of and Tribute to the Victims of Terrorism,International Day of Remembrance of and Tribute to the Victims of Terrorism is a United Nations observance in the USA,"2019-08-21",United Nations observance
International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief,International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief is a United Nations observance in the USA,"2019-08-22",United Nations observance
Janmashtami,"Krishna Janmashtami is a Hindu festival that celebrates the birth of Krishna, the eighth incarnation of the god Vishnu. It is celebrated on the eighth day of the Hindu month of Bhadrava (Bhadrapada), which is usually in August or September.","2019-08-23",Hinduism
International Day for the Remembrance of the Slave Trade and its Abolition,The United Nations’ (UN) International Day for the Remembrance of the Slave Trade and its Abolition is held on August 23 each year to remind people of the tragedy of the transatlantic slave trade.,"2019-08-23",United Nations observance
Susan B. Anthony Day,Susan B Anthony Day is an national American observance that is legally recognized in some states.,"2019-08-26",Local observance
Women's Equality Day,Women's Equality Day on August 26 is an annual observance that commemorates the anniversary of the first time voting rights were extended to women in the United States.,"2019-08-26",Observance
Lyndon Baines Johnson Day,"Lyndon Baines Johnson Day is a state holiday in Texas in the United States on August 27 each year. It commemorates the birthday of Lyndon Baines Johnson, who was the 36th president of the USA.","2019-08-27",Local holiday
International Day against Nuclear Tests,The United Nations’ (UN) International Day against Nuclear Tests is annually observed on August 29. The day raises awareness of the dangers of nuclear weapons and a closer approach to eliminating the use of those weapons.,"2019-08-29",United Nations observance
International Day of the Victims of Enforced Disappearances,The International Day of the Victims of Enforced Disappearances is annually observed on August 30.,"2019-08-30",United Nations observance
Muharram,"The first day of Muharram, which is the first month in the Islamic calendar, marks the start of the Islamic New Year.","2019-08-31",Muslim
International Overdose Awareness Day, International Overdose Awareness Day is an annual observation which aims to raise global awareness of about the impact of drug overdose on families and communities. The campaign also attempts to remove the stigma associated with overdose.,"2019-08-31",Worldwide observance
Ganesh Chaturthi,"Ganesh Chaturthi is the great Ganesha festival that celebrates the birthday of Lord Ganesha during the Hindu Month of Bhadra, which usually falls between mid-August and mid-September. It is also known as Vinayaka Chaturthi and can last up to 10 days.","2019-09-02",Hinduism
Labor Day,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.,"2019-09-02",National holiday
World Sexual Health Day, World Sexual Health Day is an annual awareness day that attempts to break down social and cultural taboos associated with sexuality and to promote sexual health around the world.,"2019-09-04",Worldwide observance
International Day of Charity,The International Day of Charity raises public awareness of what charities do to help minimize poverty.,"2019-09-05",United Nations observance
Still's Disease Awareness Day,Still's Disease Awareness Day is a worldwide observance in the USA,"2019-09-07",Worldwide observance
Carl Garner Federal Lands Cleanup Day,Carl Garner Federal Lands Cleanup Day encourages people in the United States to participate in cleaning up the federal lands. It is observed on the first Saturday after Labor Day.,"2019-09-07",Observance
Native American Day,"Native Americans' Day, on the second Monday of October, is celebrated some parts of the United States in lieu of Columbus Day.","2019-09-07",Local observance
International Literacy Day,The United Nations' (UN) International Literacy Day is held on September 8 each year.,"2019-09-08",United Nations observance
National Grandparents Day,National Grandparents Day is celebrated on the first Sunday of September after Labor Day in the United States.,"2019-09-08",Observance
California Admission Day,"California Admission Day is an annual legal observance in California, in the United States.","2019-09-09",Local holiday
Ashura,Ashura is a Muslim in the USA,"2019-09-10",Muslim
World Suicide Prevention Day,World Suicide Prevention Day promotes worldwide action to prevent suicides on September 10 each year.,"2019-09-10",Worldwide observance
First Responders Day,First Responders Day is a state observance in the USA,"2019-09-11",Local observance
Patriot Day,"Patriot Day is held in memory of nearly 3000 people who died during terrorist attacks in New York, Washington DC and Shanksville, Pennsylvania, in the United States.","2019-09-11",Local observance
Patriot Day,"Patriot Day is held in memory of nearly 3000 people who died during terrorist attacks in New York, Washington DC and Shanksville, Pennsylvania, in the United States.","2019-09-11",Observance
International Day for South-South Cooperation,The United Nations Day for South-South Cooperation is observed on September 12 each year.,"2019-09-12",United Nations observance
International Programmers' Day,"Many people celebrate International Programmers’ Day on January 7, while others observe this event on the 256th day of the year, usually on September 13 or on September 12 in leap years.","2019-09-13",Worldwide observance
Friday the 13th,Friday the 13th is a day full of superstitious beliefs in communities worldwide.,"2019-09-13",Worldwide observance
International Day of Democracy,The United Nations’ (UN) International Day of Democracy is observed on September 15 each year.,"2019-09-15",United Nations observance
First Day of National Hispanic Heritage Month,First Day of National Hispanic Heritage Month is a annual monthly observance in the USA,"2019-09-15",Observance
Constitution Commemoration Day,Constitution Day and Citizenship Day is a combined event that occurs in the United States on September 17 each year.,"2019-09-15",Local holiday
International Day for the Preservation of the Ozone Layer,The United Nations' (UN) International Day for the Preservation of the Ozone Layer focuses on the importance of protecting human health and the environment.,"2019-09-16",United Nations observance
World Patient Safety Day,World Patient Safety Day is a United Nations observance in the USA,"2019-09-17",United Nations observance
Constitution Day and Citizenship Day,Constitution Day and Citizenship Day is a combined event that occurs in the United States on September 17 each year.,"2019-09-17",Observance
Air Force Birthday,Air Force Birthday is a observance in the USA,"2019-09-18",Observance
National POW/MIA Recognition Day,National POW/MIA Recognition Day is annually observed in the United States on the third Friday of September.,"2019-09-20",Observance
International Day of Peace,"The United Nations' (UN) International Day of Peace is annually held on September 21 to recognize the efforts of individuals, organizations and governments to end conflict and promote peace.","2019-09-21",United Nations observance
National CleanUp Day,National CleanUp Day is a observance in the USA,"2019-09-21",Observance
Emancipation Day,Emancipation Day is a state-wide observation in Ohio on September 22.,"2019-09-22",Local observance
International Day of Sign Languages,International Day of Sign Languages is a United Nations observance in the USA,"2019-09-23",United Nations observance
International Celebrate Bisexuality Day,"International Celebrate Bisexuality Day, also known as Bi Visibility Day, promotes the rights of bisexual people around the world.","2019-09-23",Worldwide observance
American Indian Day,American Indian Day is a state observance in the USA,"2019-09-23",Local observance
September Equinox,September Equinox in the USA (New York),"2019-09-23T03:50:13-04:00",Season
World Maritime Day,"World Maritime Day is held on the last week of September each year, although the exact date is up to individual governments around the world.","2019-09-26",United Nations observance
International Day for the Total Elimination of Nuclear Weapons,The International Day for the Total Elimination of Nuclear Weapons raises awareness about the dangers of nuclear weapons.,"2019-09-26",United Nations observance
World Tourism Day,The United Nations’ (UN) World Tourism Day is annually held on September 27 to raise awareness on the benefits of tourism.,"2019-09-27",United Nations observance
Native American Day,"Native Americans' Day, on the second Monday of October, is celebrated some parts of the United States in lieu of Columbus Day.","2019-09-27",Local observance
Native American Day,"Native Americans' Day, on the second Monday of October, is celebrated some parts of the United States in lieu of Columbus Day.","2019-09-27",Local observance
American Indian Heritage Day,American Indian Heritage Day is often observed on the Friday after Thanksgiving Day in the United States.,"2019-09-27",Local observance
American Indian Heritage Day,American Indian Heritage Day is often observed on the Friday after Thanksgiving Day in the United States.,"2019-09-27",Local observance
Michigan Indian Day,Michigan Indian Day is a state observance in the USA,"2019-09-27",Local observance
World Rabies Day,World Rabies Day is annually observed on September 28 to raise awareness about rabies and how it can be prevented.,"2019-09-28",Worldwide observance
Public Lands Day,Public Lands Day is a state observance in the USA,"2019-09-28",Local observance
National Public Lands Day,National Public Lands Day is a observance in the USA,"2019-09-28",Observance
Navratri,Navratri is a Hindu holiday in the USA,"2019-09-29",Hinduism
World Heart Day,World Heart Day raises awareness of cardiovascular diseases and ways to reduce their risk.,"2019-09-29",Worldwide observance
Gold Star Mother's Day,Gold Star Mother’s Day is annually observed in the United States on the last Sunday of September.,"2019-09-29",Observance
Rosh Hashana,Rosh Hashanah is the Jewish New Year. Many Jewish-run organizations in the US are closed during the two-day celebration.,"2019-09-30",Hebrew
International Translation Day,International Translation Day is a United Nations observance in the USA,"2019-09-30",United Nations observance
Rosh Hashana,Rosh Hashanah is the Jewish New Year. Many Jewish-run organizations in the US are closed during the two-day celebration.,"2019-09-30",Local holiday
International Day of Older Persons,The United Nations' (UN) International Day of Older Persons is celebrated on October 1 each year as a special day for older persons worldwide.,"2019-10-01",United Nations observance
World Vegetarian Day,"World Vegetarian Day is an annual observation that spreads awareness about the health, environmental, and ethical benefits of following a vegetarian lifestyle. The unofficial holiday encourages people to avoid eating foods that include animal products and to adopt a plant-based diet.","2019-10-01",Worldwide observance
International Day of Non-Violence,The United Nations’ (UN) International Day of Non-Violence is a globally observed on October 2 each year to promote non-violence.,"2019-10-02",United Nations observance
Feast of St Francis of Assisi,"Many Catholics in the United States, particularly those with pets, celebrate the Feast of St Francis of Assisi, the patron saint of animals and the environment, on October 4 each year.","2019-10-04",Christian
World Teachers' Day,The United Nations' (UN) World Teachers' Day commemorates the work of teachers and their contributions to society. It is observed on October 5 each year.,"2019-10-05",United Nations observance
World Cerebral Palsy Day,"World Cerebral Palsy Day is an annual awareness observation that brings together people with cerebral palsy, their families and loved ones, and organizations working to ensure equal rights for them.","2019-10-06",Worldwide observance
German American Day,German American Day is a observance in the USA,"2019-10-06",Observance
Dussehra,Dussehra is a Hindu holiday in the USA,"2019-10-07",Hinduism
World Habitat Day,The United Nations’ (UN) World Habitat Day reflects on the state of human settlements and people’s right to sufficient shelter.,"2019-10-07",United Nations observance
Child Health Day,Child Health Day is annually celebrated in the United States on the first Monday of October.,"2019-10-07",Observance
Yom Kippur,Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.,"2019-10-09",Hebrew
World Post Day,World Post Day marks the anniversary of the Universal Postal Union's establishment in 1874. It is held on October 9 each year.,"2019-10-09",United Nations observance
International Day for Natural Disaster Reduction,The United Nations’ (UN) International Day for Natural Disaster Reduction is annually observed on the second Wednesday of October to promote a global culture of natural disaster risk reduction.,"2019-10-09",United Nations observance
Leif Erikson Day,Leif Erikson Day honors the first Scandinavian known to have set foot on American soil and the contribution of the Nordic peoples to the United States.,"2019-10-09",Local observance
Leif Erikson Day,Leif Erikson Day honors the first Scandinavian known to have set foot on American soil and the contribution of the Nordic peoples to the United States.,"2019-10-09",Observance
Yom Kippur,Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.,"2019-10-09",Local holiday
World Mental Health Day,"World Mental Health Day, which is supported by the United Nations (UN), is annually held on October 10 to raise public awareness about mental health issues worldwide.","2019-10-10",United Nations observance
World Sight Day,World Sight Day is annually held on the second Thursday of October to raise awareness about blindness and vision impairment.,"2019-10-10",Worldwide observance
International Day of the Girl Child,The International Day of the Girl Child is a United Nations (UN) observance on October 11 each year.,"2019-10-11",United Nations observance
Casimir Pulaski Day,"Casimir Pulaski Day is a day off for some schools and offices in Illinois, USA, on the first Monday of March each year.","2019-10-11",Local observance
Casimir Pulaski Day,"Casimir Pulaski Day is a day off for some schools and offices in Illinois, USA, on the first Monday of March each year.","2019-10-11",Local observance
Casimir Pulaski Day,"Casimir Pulaski Day is a day off for some schools and offices in Illinois, USA, on the first Monday of March each year.","2019-10-11",Local observance
Anniversary of Death of General Pulaski,"Casimir Pulaski Day is a day off for some schools and offices in Illinois, USA, on the first Monday of March each year.","2019-10-11",Local observance
World Migratory Bird Day,World Migratory Bird Day is observed the second weekend of May every year.,"2019-10-12",United Nations observance
